Year,Title,Length,Score,Sales,Genre1,Genre2,Genre3,Genre4,Genre5,Genre6,Genre7
1997,Steel,5,43,1,Science Fiction,Action,Adventure,0,0,0,0
1997,Event Horizon,13,65,26,Horror,Science Fiction,Mystery,0,0,0,0
1997,Cop Land,8,66,44,Action,Crime,Drama,0,0,0,0
1997,Shooting Fish,13,70,0,Crime,Comedy,Romance,0,0,0,0
1997,Money Talks,11,59,0,Action,Adventure,Comedy,0,0,0,0
1997,G.I. Jane,9,60,48,Action,Drama,0,0,0,0,0
1997,Deconstructing Harry,20,73,10,Comedy,Drama,0,0,0,0,0
1997,24 7: Twenty Four Seven,23,63,0,Comedy,Drama,Romance,0,0,0,0
1997,The Edge,8,67,43,Action,Adventure,Drama,0,0,0,0
1997,Orgazmo,7,62,0,Comedy,0,0,0,0,0,0
1997,Two Girls and a Guy,19,54,2,Drama,Romance,0,0,0,0,0
1997,Gattaca,7,75,12,Thriller,Science Fiction,Mystery,Romance,0,0,0
1997,Eve's Bayou,11,61,0,Drama,0,0,0,0,0,0
1997,The Spanish Prisoner,20,71,13,Crime,Drama,Mystery,Thriller,0,0,0
1997,Cube,4,69,0,Thriller,Science Fiction,Mystery,0,0,0,0
1997,In & Out,8,63,0,Comedy,Romance,0,0,0,0,0
1997,Hav Plenty,10,0,0,Action,Comedy,Romance,Science Fiction,Thriller,0,0
1997,Boogie Nights,13,75,43,Drama,0,0,0,0,0,0
1997,The Game,8,75,109,Drama,Thriller,Mystery,0,0,0,0
1997,Seven Years in Tibet,20,70,131,Adventure,Drama,History,0,0,0,0
1997,L.A. Confidential,17,77,126,Crime,Drama,Mystery,Thriller,0,0,0
1997,The Peacemaker,14,58,0,Action,Thriller,0,0,0,0,0
1997,Soul Food,9,66,0,Comedy,Drama,0,0,0,0,0
1997,The Ice Storm,13,69,8,Drama,0,0,0,0,0,0
1997,Kiss the Girls,14,62,60,Drama,Mystery,Thriller,Crime,0,0,0
1997,The Apostle,11,61,0,Drama,0,0,0,0,0,0
1997,The Chambermaid on the Titanic,30,53,0,Drama,0,0,0,0,0,0
1997,The Swindle,11,64,0,Comedy,Crime,Thriller,0,0,0,0
1997,The Devil's Advocate,20,72,152,Drama,Horror,Mystery,Thriller,0,0,0
1997,I Know What You Did Last Summer,31,56,125,Horror,Thriller,Mystery,0,0,0,0
1997,Trekkies,8,63,0,Documentary,0,0,0,0,0,0
1997,Switchback,10,58,6,Action,Adventure,Mystery,Thriller,0,0,0
1997,Critical Care,13,61,0,Comedy,Drama,0,0,0,0,0
1997,Starship Troopers,17,67,121,Adventure,Action,Thriller,Science Fiction,0,0,0
1997,Cure,4,74,0,Crime,Horror,Mystery,Thriller,0,0,0
1997,Mad City,8,59,10,Action,Drama,Thriller,0,0,0,0
1997,Alien: Resurrection,19,59,162,Science Fiction,Horror,Action,0,0,0,0
1997,The Man Who Knew Too Little,27,65,13,Comedy,Thriller,Crime,Action,0,0,0
1997,The Jackal,10,61,159,Action,Thriller,Adventure,Crime,0,0,0
1997,Titanic,7,75,1845,Drama,Romance,Thriller,0,0,0,0
1997,The Rainmaker,13,67,45,Drama,Crime,Thriller,0,0,0,0
1997,Anastasia,9,74,139,Animation,Family,0,0,0,0,0
1997,Mortal Kombat: Annihilation,27,38,51,Action,Fantasy,Science Fiction,0,0,0,0
1997,Midnight in the Garden of Good and Evil,39,63,25,Crime,Drama,Mystery,Thriller,0,0,0
1997,Flubber,7,53,177,Comedy,Family,Science Fiction,0,0,0,0
1997,Amistad,7,68,74,Drama,History,Mystery,0,0,0,0
1997,The Borrowers,13,58,0,Adventure,Fantasy,Action,Comedy,Family,0,0
1997,Good Will Hunting,17,79,225,Drama,0,0,0,0,0,0
1997,Scream 2,8,61,172,Horror,Mystery,0,0,0,0,0
1997,Tomorrow Never Dies,19,60,333,Adventure,Action,Thriller,0,0,0,0
1997,Spice World,11,47,100,Adventure,Fantasy,Drama,Comedy,Music,0,0
1997,As Good as It Gets,18,72,314,Comedy,Romance,0,0,0,0,0
1997,Jackie Brown,12,73,39,Comedy,Crime,Romance,0,0,0,0
1997,Wag the Dog,11,67,64,Comedy,Drama,0,0,0,0,0
1997,The Postman,11,61,17,Drama,Adventure,0,0,0,0,0
1997,Kundun,6,68,5,Drama,0,0,0,0,0,0
1997,Oscar and Lucinda,17,62,0,Drama,Romance,0,0,0,0,0
1998,Barney's Great Adventure,24,29,0,Family,0,0,0,0,0,0
1998,20 Dates,8,37,0,Romance,Comedy,0,0,0,0,0
1998,Smoke Signals,13,66,0,Drama,Comedy,0,0,0,0,0
1998,Hard Rain,9,55,19,Thriller,0,0,0,0,0,0
1998,Half Baked,10,64,17,Comedy,Crime,0,0,0,0,0
1998,Central Station,15,76,5,Drama,0,0,0,0,0,0
1998,Buffalo '66,11,71,2,Romance,Comedy,Crime,Drama,0,0,0
1998,Gods and Monsters,17,68,6,Drama,0,0,0,0,0,0
1998,Zero Effect,11,60,1,Comedy,Crime,Mystery,Thriller,0,0,0
1998,Deep Rising,11,60,11,Adventure,Action,Horror,Science Fiction,0,0,0
1998,The Love Letter,15,47,0,Comedy,Drama,Fantasy,Romance,0,0,0
1998,The Replacement Killers,23,60,19,Action,Drama,Crime,Thriller,0,0,0
1998,The Visitors II: The Corridors of Time,38,58,0,Comedy,Fantasy,0,0,0,0,0
1998,Tango,5,68,0,Drama,Foreign,Romance,0,0,0,0
1998,Sphere,6,58,13,Science Fiction,0,0,0,0,0,0
1998,An Alan Smithee Film: Burn, Hollywood, Burn,43,30,0,Comedy,0,0,0,0,0,0
1998,Dark City,9,72,27,Mystery,Science Fiction,0,0,0,0,0
1998,Lock, Stock and Two Smoking Barrels,35,75,3,Comedy,Crime,0,0,0,0,0
1998,A Civil Action,14,61,56,Drama,0,0,0,0,0,0
1998,The Big Lebowski,16,78,46,Comedy,Crime,0,0,0,0,0
1998,The Man in the Iron Mask,24,63,0,Action,Adventure,Drama,0,0,0,0
1998,Chairman of the Board,21,27,0,Comedy,0,0,0,0,0,0
1998,Wild Things,11,63,67,Crime,Drama,Mystery,0,0,0,0
1998,Primary Colors,14,61,0,Comedy,Drama,0,0,0,0,0
1998,The Newton Boys,15,59,76,Crime,Action,Drama,0,0,0,0
1998,Meet the Deedles,16,41,4,Animation,Comedy,Family,0,0,0,0
1998,Mercury Rising,14,60,0,Action,Crime,Drama,Thriller,0,0,0
1998,Lost in Space,13,50,136,Adventure,Family,Science Fiction,0,0,0,0
1998,The Players Club,16,64,0,Drama,0,0,0,0,0,0
1998,City of Angels,14,64,198,Drama,Fantasy,Romance,0,0,0,0
1998,Vampires,8,58,0,Action,Drama,Fantasy,Horror,Thriller,0,0
1998,The Object of My Affection,26,56,46,Comedy,Drama,Romance,0,0,0,0
1998,Broken Vessels,14,60,0,Drama,0,0,0,0,0,0
1998,Déjà Vu,9,80,0,Romance,Drama,0,0,0,0,0
1998,Sliding Doors,13,65,58,Comedy,Drama,Fantasy,Romance,0,0,0
1998,The Big Hit,11,61,27,Action,Adventure,Comedy,Thriller,0,0,0
1998,He Got Game,11,67,21,Drama,0,0,0,0,0,0
1998,Dancer, Texas Pop. 81,21,100,0,Comedy,Drama,Family,0,0,0,0
1998,Woo,3,55,8,Comedy,Romance,0,0,0,0,0
1998,Deep Impact,11,59,140,Action,Drama,Romance,0,0,0,0
1998,The Horse Whisperer,19,67,186,Drama,Romance,0,0,0,0,0
1998,Quest for Camelot,17,69,38,Fantasy,Animation,Drama,Romance,Family,0,0
1998,Bulworth,8,63,29,Comedy,Drama,0,0,0,0,0
1998,Creature,8,40,0,Horror,Science Fiction,Thriller,0,0,0,0
1998,The Celebration,15,77,0,Drama,0,0,0,0,0,0
1998,Illuminata,10,63,0,Drama,0,0,0,0,0,0
1998,Fear and Loathing in Las Vegas,30,72,10,Adventure,Drama,Comedy,0,0,0,0
1998,I Got the Hook Up,17,54,0,Action,Comedy,0,0,0,0,0
1998,Hope Floats,11,58,0,Drama,Romance,0,0,0,0,0
1998,The Truman Show,15,78,264,Comedy,Drama,0,0,0,0,0
1998,Stiff Upper Lips,16,100,0,Comedy,0,0,0,0,0,0
1998,Six Days Seven Nights,21,56,164,Action,Adventure,Comedy,Romance,0,0,0
1998,Dirty Work,10,65,0,Comedy,0,0,0,0,0,0
1998,Can't Hardly Wait,17,61,25,Comedy,Drama,Romance,0,0,0,0
1998,Mulan,5,76,304,Animation,Family,Adventure,0,0,0,0
1998,The X Files,11,66,189,Mystery,Science Fiction,Thriller,0,0,0,0
1998,Doctor Dolittle,15,54,294,Comedy,Family,Fantasy,0,0,0,0
1998,Among Giants,12,45,0,Comedy,Romance,0,0,0,0,0
1998,Out of Sight,12,65,77,Romance,Comedy,Crime,0,0,0,0
1998,Armageddon,10,64,553,Action,Thriller,Science Fiction,Adventure,0,0,0
1998,Small Soldiers,14,62,54,Comedy,Adventure,Fantasy,Science Fiction,Action,0,0
1998,Pi,2,71,3,Mystery,Drama,Thriller,0,0,0,0
1998,Lethal Weapon 4,15,63,285,Action,Adventure,Comedy,Crime,Thriller,0,0
1998,There's Something About Mary,28,65,369,Romance,Comedy,0,0,0,0,0
1998,The Mask of Zorro,17,63,250,Action,Adventure,0,0,0,0,0
1998,Saving Private Ryan,19,79,481,Drama,History,War,0,0,0,0
1998,Disturbing Behavior,19,55,17,Mystery,Horror,Science Fiction,0,0,0,0
1998,The Negotiator,14,68,44,Action,Adventure,Crime,Drama,Mystery,Thriller,0
1998,Ever After: A Cinderella Story,30,68,65,Drama,Romance,Comedy,0,0,0,0
1998,Snake Eyes,10,58,103,Crime,Mystery,0,0,0,0,0
1998,First Love, Last Rites,22,30,0,Drama,0,0,0,0,0,0
1998,Slums of Beverly Hills,22,65,0,Comedy,Drama,0,0,0,0,0
1998,How Stella Got Her Groove Back,30,60,37,Comedy,Drama,Romance,0,0,0,0
1998,Safe Men,8,63,0,Comedy,Crime,0,0,0,0,0
1998,Run Lola Run,12,72,7,Action,Drama,Thriller,0,0,0,0
1998,Next Stop Wonderland,20,60,0,Comedy,Drama,Romance,0,0,0,0
1998,Dead Man on Campus,18,56,0,Comedy,0,0,0,0,0,0
1998,Blade,5,65,131,Horror,Action,0,0,0,0,0
1998,I Married a Strange Person!,27,75,0,Drama,Comedy,Animation,0,0,0,0
1998,54,2,55,16,Music,Drama,0,0,0,0,0
1998,Knock Off,9,47,0,Action,Adventure,Thriller,0,0,0,0
1998,Celebrity,9,60,0,Drama,Comedy,0,0,0,0,0
1998,The Red Violin,14,73,9,Drama,Thriller,Mystery,Music,Romance,0,0
1998,Without Limits,14,62,0,Drama,0,0,0,0,0,0
1998,Very Bad Things,15,62,9,Comedy,Crime,Thriller,0,0,0,0
1998,Simon Birch,11,65,18,Comedy,Drama,Family,0,0,0,0
1998,Rounders,8,69,22,Drama,Crime,0,0,0,0,0
1998,Elizabeth,9,71,82,Drama,History,0,0,0,0,0
1998,Waking Ned,10,74,0,Comedy,Romance,0,0,0,0,0
1998,Earth,5,66,0,Drama,0,0,0,0,0,0
1998,Rushmore,8,75,17,Comedy,Drama,0,0,0,0,0
1998,Six-String Samurai,18,58,0,Action,Adventure,Science Fiction,0,0,0,0
1998,One True Thing,14,62,0,Drama,Romance,0,0,0,0,0
1998,The Last Big Thing,18,60,0,Comedy,Drama,0,0,0,0,0
1998,Urban Legend,12,56,72,Horror,Thriller,0,0,0,0,0
1998,The Land Girls,14,70,0,Drama,Romance,War,0,0,0,0
1998,Ronin,5,67,41,Action,Thriller,Crime,Adventure,0,0,0
1998,Clay Pigeons,12,63,0,Comedy,Crime,Drama,Thriller,0,0,0
1998,A Night at the Roxbury,22,59,30,Comedy,0,0,0,0,0,0
1998,What Dreams May Come,20,68,71,Drama,Fantasy,Romance,0,0,0,0
1998,Antz,4,60,171,Adventure,Animation,Comedy,Family,0,0,0
1998,Slam,4,67,0,Drama,0,0,0,0,0,0
1998,Holy Man,8,49,0,Drama,Comedy,0,0,0,0,0
1998,Practical Magic,15,63,46,Drama,Fantasy,Comedy,0,0,0,0
1998,Happiness,9,74,2,Comedy,Drama,0,0,0,0,0
1998,Bride of Chucky,15,55,50,Horror,Comedy,0,0,0,0,0
1998,Beloved,7,59,0,Drama,Thriller,0,0,0,0,0
1998,Velvet Goldmine,15,69,1,Drama,Music,0,0,0,0,0
1998,The Mighty,10,71,0,Comedy,Drama,0,0,0,0,0
1998,Soldier,7,61,14,Action,War,Science Fiction,0,0,0,0
1998,Living Out Loud,15,53,12,Comedy,Drama,Romance,0,0,0,0
1998,American History X,18,82,23,Drama,0,0,0,0,0,0
1998,Little Voice,12,66,0,Comedy,Drama,0,0,0,0,0
1998,The Waterboy,12,59,185,Comedy,0,0,0,0,0,0
1998,The Siege,9,60,116,Drama,Action,Thriller,Crime,0,0,0
1998,Meet Joe Black,14,69,142,Fantasy,Drama,Mystery,0,0,0,0
1998,I Still Know What You Did Last Summer,37,51,40,Horror,Mystery,Thriller,0,0,0,0
1998,The Rugrats Movie,17,57,100,Animation,Family,0,0,0,0,0
1998,Enemy of the State,18,67,250,Action,Drama,Thriller,0,0,0,0
1998,Home Fries,10,48,10,Drama,Comedy,Romance,0,0,0,0
1998,Babe: Pig in the City,21,52,69,Adventure,Comedy,Drama,Family,Fantasy,0,0
1998,A Bug's Life,12,68,363,Adventure,Animation,Comedy,Family,0,0,0
1998,Star Trek: Insurrection,23,63,118,Science Fiction,Action,Adventure,Thriller,0,0,0
1998,Shakespeare in Love,19,68,289,Romance,History,0,0,0,0,0
1998,A Simple Plan,13,69,0,Drama,Crime,Thriller,0,0,0,0
1998,The Prince of Egypt,19,68,218,Adventure,Animation,Drama,Family,Music,0,0
1998,You've Got Mail,15,63,250,Comedy,Romance,0,0,0,0,0
1998,The Thin Red Line,17,72,98,Drama,History,War,0,0,0,0
1998,The Faculty,11,62,40,Horror,Mystery,Science Fiction,0,0,0,0
1998,Stepmom,7,69,0,Drama,Romance,0,0,0,0,0
1998,Patch Adams,11,70,202,Comedy,Drama,0,0,0,0,0
1998,Mighty Joe Young,16,59,0,Action,Adventure,Family,Fantasy,0,0,0
1999,The Big Tease,13,58,0,Comedy,Foreign,0,0,0,0,0
1999,Varsity Blues,13,60,0,Comedy,Drama,Romance,0,0,0,0
1999,In Dreams,9,54,0,Drama,Thriller,0,0,0,0,0
1999,At First Sight,14,59,0,Drama,Romance,0,0,0,0,0
1999,The Boondock Saints,19,72,0,Action,Thriller,Crime,0,0,0,0
1999,She's All That,14,57,103,Comedy,Romance,0,0,0,0,0
1999,A Walk on the Moon,18,62,0,Drama,Romance,0,0,0,0,0
1999,Jawbreaker,10,59,3,Comedy,0,0,0,0,0,0
1999,Simply Irresistible,19,55,4,Comedy,0,0,0,0,0,0
1999,Payback,7,67,161,Drama,Action,Thriller,Crime,0,0,0
1999,Aimee & Jaguar,14,63,0,Drama,History,Romance,0,0,0,0
1999,Speedway Junky,14,52,0,Romance,Drama,Crime,0,0,0,0
1999,My Favorite Martian,19,51,36,Comedy,Drama,Family,Science Fiction,0,0,0
1999,Blast from the Past,19,63,40,Comedy,Romance,0,0,0,0,0
1999,Breakfast of Champions,22,52,0,Comedy,0,0,0,0,0,0
1999,Office Space,12,74,12,Comedy,Crime,0,0,0,0,0
1999,Message in a Bottle,19,58,118,Romance,Drama,0,0,0,0,0
1999,8MM,3,61,96,Thriller,Crime,Mystery,0,0,0,0
1999,200 Cigarettes,14,61,6,Comedy,Drama,Romance,0,0,0,0
1999,Cruel Intentions,16,66,75,Drama,Romance,Thriller,0,0,0,0
1999,Analyze This,12,64,176,Comedy,Crime,0,0,0,0,0
1999,Wing Commander,14,40,0,Action,Science Fiction,0,0,0,0,0
1999,The Rage: Carrie 2,18,51,17,Horror,Thriller,Science Fiction,0,0,0,0
1999,The Deep End of the Ocean,25,59,28,Drama,Mystery,0,0,0,0,0
1999,The Corruptor,13,60,15,Action,Crime,Mystery,Thriller,0,0,0
1999,Baby Geniuses,13,33,36,Science Fiction,Comedy,Family,0,0,0,0
1999,Ravenous,8,69,0,Comedy,Horror,Thriller,Western,0,0,0
1999,Arlington Road,14,70,0,Drama,Thriller,Mystery,0,0,0,0
1999,Tea with Mussolini,18,58,21,Comedy,Drama,War,0,0,0,0
1999,Edtv,4,57,0,Comedy,0,0,0,0,0,0
1999,Doug's 1st Movie,16,54,0,Animation,Family,Comedy,0,0,0,0
1999,The Matrix,10,79,463,Action,Science Fiction,0,0,0,0,0
1999,10 Things I Hate About You,26,73,53,Comedy,Romance,Drama,0,0,0,0
1999,The Other Conquest,18,54,0,Drama,Foreign,0,0,0,0,0
1999,The Out-of-Towners,18,50,29,Comedy,0,0,0,0,0,0
1999,Go,2,70,28,Crime,Comedy,Thriller,0,0,0,0
1999,Foolish,7,63,6,Comedy,Drama,0,0,0,0,0
1999,eXistenZ,8,67,2,Action,Thriller,Science Fiction,Horror,0,0,0
1999,An Ideal Husband,16,63,18,Drama,Comedy,Romance,0,0,0,0
1999,The Thirteenth Floor,20,68,18,Thriller,Science Fiction,Mystery,0,0,0,0
1999,The Virgin Suicides,19,71,10,Drama,Romance,0,0,0,0,0
1999,Pushing Tin,11,57,0,Comedy,Drama,0,0,0,0,0
1999,Election,8,67,0,Comedy,0,0,0,0,0,0
1999,The Loss of Sexual Innocence,28,52,0,Drama,0,0,0,0,0,0
1999,Entrapment,10,60,212,Romance,Drama,Mystery,0,0,0,0
1999,Idle Hands,10,61,4,Thriller,Comedy,Horror,0,0,0,0
1999,Trippin',8,45,9,Comedy,Romance,0,0,0,0,0
1999,Notting Hill,12,70,363,Romance,Comedy,Drama,0,0,0,0
1999,East Is East,12,65,28,Comedy,0,0,0,0,0,0
1999,The Limey,9,66,3,Action,Crime,Drama,Mystery,Thriller,0,0
1999,Star Wars: Episode I - The Phantom Menace,41,63,924,Adventure,Action,Science Fiction,0,0,0,0
1999,Limbo,5,70,1,Adventure,Drama,Thriller,0,0,0,0
1999,Instinct,8,62,0,Drama,Mystery,Thriller,0,0,0,0
1999,Human Traffic,13,68,4,Comedy,Drama,0,0,0,0,0
1999,Desert Blue,11,55,0,Comedy,Drama,0,0,0,0,0
1999,Austin Powers: The Spy Who Shagged Me,37,62,310,Adventure,Comedy,Crime,Science Fiction,0,0,0
1999,The General's Daughter,22,61,149,Crime,Drama,Mystery,Thriller,0,0,0
1999,Big Daddy,9,61,234,Comedy,Drama,0,0,0,0,0
1999,Wild Wild West,14,51,222,Action,Adventure,Comedy,Science Fiction,Western,0,0
1999,South Park: Bigger, Longer & Uncut,34,71,0,Animation,Comedy,Music,0,0,0,0
1999,Summer of Sam,13,63,0,Thriller,Drama,Crime,Romance,0,0,0
1999,American Pie,12,64,235,Comedy,Romance,0,0,0,0,0
1999,The Blair Witch Project,23,63,248,Horror,Mystery,0,0,0,0,0
1999,Muppets from Space,18,58,16,Fantasy,Comedy,Science Fiction,Family,0,0,0
1999,Eyes Wide Shut,14,71,162,Mystery,Drama,0,0,0,0,0
1999,Lake Placid,11,55,56,Horror,Comedy,Action,Science Fiction,Thriller,0,0
1999,The Wood,8,71,25,Comedy,Drama,Romance,0,0,0,0
1999,The Velocity of Gary,20,42,0,Drama,Romance,0,0,0,0,0
1999,The Haunting,12,52,91,Horror,Thriller,Fantasy,Mystery,0,0,0
1999,Inspector Gadget,16,43,0,Action,Adventure,Comedy,Family,0,0,0
1999,Drop Dead Gorgeous,18,64,10,Comedy,0,0,0,0,0,0
1999,Deep Blue Sea,13,56,73,Action,Science Fiction,Thriller,0,0,0,0
1999,Twin Falls Idaho,16,70,0,Drama,Romance,0,0,0,0,0
1999,Runaway Bride,13,57,309,Comedy,Romance,0,0,0,0,0
1999,One Man's Hero,14,93,0,Western,Action,Drama,History,0,0,0
1999,Dick,4,57,27,Comedy,0,0,0,0,0,0
1999,Universal Soldier: The Return,29,42,10,Action,Science Fiction,0,0,0,0,0
1999,The Thomas Crown Affair,23,66,124,Drama,Crime,Romance,0,0,0,0
1999,The Sixth Sense,15,77,672,Mystery,Thriller,Drama,0,0,0,0
1999,The Iron Giant,14,76,23,Adventure,Animation,Family,Fantasy,Science Fiction,0,0
1999,Mystery Men,11,57,29,Adventure,Fantasy,Action,Comedy,Science Fiction,0,0
1999,Bowfinger,9,60,0,Comedy,0,0,0,0,0,0
1999,Detroit Rock City,17,67,4,Comedy,Music,0,0,0,0,0
1999,Brokedown Palace,16,62,13,Drama,Thriller,0,0,0,0,0
1999,Outside Providence,18,56,7,Romance,Comedy,Drama,0,0,0,0
1999,Mickey Blue Eyes,16,53,0,Comedy,Crime,Romance,0,0,0,0
1999,A Room for Romeo Brass,22,73,0,Drama,Comedy,Foreign,0,0,0,0
1999,The Ninth Gate,14,63,58,Horror,Mystery,Thriller,0,0,0,0
1999,In Too Deep,11,62,14,Drama,Action,Thriller,Crime,0,0,0
1999,The Astronaut's Wife,20,54,19,Drama,Science Fiction,Thriller,0,0,0,0
1999,The Muse,8,53,0,Fantasy,Comedy,0,0,0,0,0
1999,The 13th Warrior,16,64,61,Adventure,Fantasy,Action,0,0,0,0
1999,Dudley Do-Right,15,38,0,Comedy,Family,Romance,0,0,0,0
1999,A Dog Of Flanders,17,64,0,Drama,Family,0,0,0,0,0
1999,Chill Factor,12,53,11,Action,Comedy,Thriller,0,0,0,0
1999,Boys Don't Cry,14,72,11,Crime,Drama,0,0,0,0,0
1999,Topsy-Turvy,11,67,0,Comedy,Drama,Music,0,0,0,0
1999,Eye of the Beholder,19,53,0,Drama,Mystery,Thriller,0,0,0,0
1999,Jesus' Son,10,67,0,Comedy,Drama,Romance,0,0,0,0
1999,Stir of Echoes,14,65,21,Horror,Mystery,Thriller,0,0,0,0
1999,Stigmata,8,60,50,Horror,0,0,0,0,0,0
1999,Love Stinks,11,54,0,Comedy,Romance,0,0,0,0,0
1999,But I'm a Cheerleader,21,65,0,Comedy,0,0,0,0,0,0
1999,Ghost Dog: The Way of the Samurai,33,72,0,Crime,Drama,0,0,0,0,0
1999,American Beauty,15,79,356,Drama,0,0,0,0,0,0
1999,Taxman,6,20,0,Action,Crime,Comedy,Thriller,0,0,0
1999,Smiling Fish & Goat On Fire,27,70,0,Comedy,Romance,0,0,0,0,0
1999,Jakob the Liar,14,60,0,Comedy,Drama,History,0,0,0,0
1999,The Hurricane,13,72,73,Drama,0,0,0,0,0,0
1999,Sugar Town,10,55,0,Comedy,0,0,0,0,0,0
1999,For Love of the Game,20,63,0,Drama,Romance,0,0,0,0,0
1999,Blue Streak,11,61,117,Action,Comedy,Crime,0,0,0,0
1999,Mumford,7,63,0,Comedy,Drama,Romance,0,0,0,0
1999,Double Jeopardy,15,62,177,Crime,Drama,Mystery,Thriller,0,0,0
1999,Three Kings,11,66,108,Action,Adventure,Comedy,0,0,0,0
1999,Being John Malkovich,20,73,22,Fantasy,Drama,Comedy,0,0,0,0
1999,The Adventures of Elmo in Grouchland,36,63,0,Family,0,0,0,0,0,0
1999,Mystery, Alaska,15,60,8,Drama,Comedy,0,0,0,0,0
1999,Drive Me Crazy,14,58,22,Drama,Comedy,Romance,Family,0,0,0
1999,The Woman Chaser,16,49,0,Drama,0,0,0,0,0,0
1999,Superstar,9,51,0,Comedy,Family,0,0,0,0,0
1999,Random Hearts,13,53,74,Drama,Romance,0,0,0,0,0
1999,Naturally Native,16,0,0,Drama,0,0,0,0,0,0
1999,Held Up,7,49,0,Comedy,0,0,0,0,0,0
1999,The Story of Us,15,59,58,Comedy,Drama,Romance,0,0,0,0
1999,The Straight Story,18,77,0,Drama,0,0,0,0,0,0
1999,The Omega Code,14,44,2,Horror,Thriller,0,0,0,0,0
1999,Fight Club,10,83,100,Drama,0,0,0,0,0,0
1999,The Messenger: The Story of Joan of Arc,39,62,66,Adventure,Drama,Action,History,War,0,0
1999,Just Looking,12,58,0,Drama,Comedy,0,0,0,0,0
1999,Three to Tango,14,54,0,Comedy,Romance,0,0,0,0,0
1999,The Best Man,12,68,34,Drama,Comedy,0,0,0,0,0
1999,Molly,5,55,0,Drama,Comedy,Romance,0,0,0,0
1999,Crazy in Alabama,16,65,0,Comedy,Drama,0,0,0,0,0
1999,Bringing Out the Dead,21,66,0,Drama,0,0,0,0,0,0
1999,Beyond the Mat,14,78,0,Documentary,0,0,0,0,0,0
1999,Bats,4,41,0,Horror,Thriller,0,0,0,0,0
1999,The Insider,11,73,60,Drama,Thriller,0,0,0,0,0
1999,House on Haunted Hill,21,55,40,Horror,Mystery,Thriller,0,0,0,0
1999,Dreaming of Joseph Lees,23,80,0,Romance,Drama,0,0,0,0,0
1999,Toy Story 2,11,73,497,Animation,Comedy,Family,0,0,0,0
1999,The Bone Collector,18,65,151,Drama,Mystery,Thriller,Crime,0,0,0
1999,Light It Up,11,66,0,Drama,Thriller,0,0,0,0,0
1999,The World Is Not Enough,23,60,361,Adventure,Action,Thriller,0,0,0,0
1999,Dogma,5,68,30,Fantasy,Comedy,Adventure,0,0,0,0
1999,Anywhere But Here,17,59,18,Drama,Comedy,Romance,0,0,0,0
1999,Ride with the Devil,19,66,0,Drama,War,Romance,Western,0,0,0
1999,Felicia's Journey,17,66,0,Drama,0,0,0,0,0,0
1999,End of Days,11,55,211,Action,Fantasy,Horror,Mystery,0,0,0
1999,Flawless,8,59,4,Comedy,Drama,0,0,0,0,0
1999,Tumbleweeds,11,62,1,Comedy,Drama,0,0,0,0,0
1999,The End of the Affair,21,66,10,Drama,0,0,0,0,0,0
1999,Happy, Texas,12,55,1,Comedy,Crime,0,0,0,0,0
1999,Magnolia,8,75,48,Drama,0,0,0,0,0,0
1999,The Green Mile,14,82,284,Fantasy,Drama,Crime,0,0,0,0
1999,Deuce Bigalow: Male Gigolo,26,55,65,Comedy,0,0,0,0,0,0
1999,Cradle Will Rock,16,72,0,Drama,0,0,0,0,0,0
1999,Godzilla 2000,13,59,10,Adventure,Horror,Action,Science Fiction,0,0,0
1999,Any Given Sunday,16,68,100,Drama,0,0,0,0,0,0
1999,Anna and the King,17,64,0,Drama,History,Romance,0,0,0,0
1999,Stuart Little,13,58,300,Animation,Fantasy,Family,Comedy,0,0,0
1999,Fantasia 2000,13,70,90,Animation,Family,Music,0,0,0,0
1999,Bicentennial Man,16,69,93,Comedy,Science Fiction,0,0,0,0,0
1999,Girl, Interrupted,17,76,0,Drama,0,0,0,0,0,0
1999,Snow Falling on Cedars,22,63,0,Drama,Romance,0,0,0,0,0
1999,Man on the Moon,15,69,47,Comedy,Drama,Romance,0,0,0,0
1999,Galaxy Quest,12,69,90,Comedy,Family,Science Fiction,0,0,0,0
1999,The Talented Mr. Ripley,23,70,128,Thriller,Crime,Drama,0,0,0,0
1999,Play It to the Bone,19,57,8,Comedy,Drama,0,0,0,0,0
1999,Angela's Ashes,14,70,0,Drama,0,0,0,0,0,0
2000,The Widow of Saint-Pierre,25,67,0,Romance,Drama,0,0,0,0,0
2000,Next Friday,11,64,59,Comedy,0,0,0,0,0,0
2000,Supernova,9,49,14,Horror,Science Fiction,Thriller,0,0,0,0
2000,My Dog Skip,11,65,0,Comedy,Drama,Family,0,0,0,0
2000,Down to You,11,49,0,Comedy,Drama,Family,Romance,0,0,0
2000,Chuck & Buck,12,57,0,Comedy,Drama,0,0,0,0,0
2000,Urbania,7,52,0,Romance,Drama,0,0,0,0,0
2000,Isn't She Great,15,46,3,Drama,Comedy,0,0,0,0,0
2000,The Broken Hearts Club: A Romantic Comedy,41,63,1,Comedy,Drama,Romance,0,0,0,0
2000,Scream 3,8,57,161,Horror,Mystery,0,0,0,0,0
2000,Anatomy,7,61,0,Horror,Thriller,0,0,0,0,0
2000,Gun Shy,7,54,1,Action,Comedy,Romance,Thriller,0,0,0
2000,The Tigger Movie,16,63,45,Animation,Family,0,0,0,0,0
